"group","role","name","grade"
33,"leader","65d4f036361065f252372430ad4c7839",82
33,"number","78d20fab62695f44a56e28e6580d7295",89
33,"number","8f54460870af18f8beb46af1ce3c06fd",80
33,"number","d6236e7c4549170c3ef911a4a18419a3",84
33,"number","16f05ece57372881d4f380a70b54767c",73
33,"number","0fcd0d8326b6220eee7ba7431b9cf115",81
33,"number","183aa00ca3032f7632b4cd45970c1089",83
34,"leader","354cf1cc22afa900f8fad863e48f6a5a",85
34,"number","bbcf8890a881e6f3a51140e0c7df5c1d",87
34,"number","e930291bf8f7467b3eea25f1899c2694",75
34,"number","0619258046b34e8b1a8baf3d944168f7",81
34,"number","d256c9355d90c52e3a0458e8f9b27445",72
34,"number","6c8fc2e63671ac5dbadcb431182e3d78",77
34,"number","f02b372861124fb4195010713df4257b",77
34,"number","334deaf3f89872103a4dfd5ffd21a435",87
35,"leader","ded8c0a3ed4df699039db885bd988495",66
35,"number","5726226e5e62cf07093b053075e45f7f",88
35,"number","a191554b073767fe7fd99eae7e2434aa",58
35,"number","185af4574005652e06cd74e7a806d43d",74
35,"number","6af8f14ee5d2b8f1469875ab2fbaff56",76
35,"number","bf72df6787eb48f57e1da5bdda53b30d",74
35,"number","aa4529c25beb3429f57827002c82a2a0",80
35,"number","0b8be5af822898b4db57371644bbfe47",82
